Year,Citations,With Code
2016,11,False
2016,16,False
2016,105,True
2016,16,True
2016,38,False
2016,89,False
2016,63,False
2016,392,True
2016,65,False
2016,30,False
2016,1130,False
2016,5,False
2016,4254,True
2016,41,False
2016,95,False
2016,13,False
2016,68,False
2016,90,False
2016,1326,True
2016,70,True
2016,194,False
2016,28,False
2016,16,False
2016,27,False
2016,8,False
2016,82,True
2016,28,True
2016,19,True
2016,34,False
2016,15,False
2016,4,False
2016,9,False
2016,137,False
2016,339,True
2016,8,True
2016,5,False
2016,17,True
2016,1076,True
2016,142,False
2016,24,False
2016,22,False
2016,17,False
2016,75,False
2016,131,True
2016,228,True
2016,19,False
2016,11,False
2016,31,False
2016,62,False
2016,22,False
2016,418,True
2016,60,True
2016,2,False
2016,25,True
2016,122,True
2016,67,False
2016,400,True
2016,698,False
2016,14,False
2016,68,False
2016,58,False
2016,11,False
2016,20,False
2016,4,False
2016,24,False
2016,140,True
2016,69,False
2016,147,False
2016,11,False
2016,8,False
2016,334,True
2016,5,False
2016,37,False
2016,29,False
2016,73,False
2016,303,True
2016,32,True
2016,127,False
2016,409,False
2016,14,False
2016,700,True
2016,104,False
2016,7,True
2016,27,False
2016,12,False
2016,18,False
2016,26,False
2016,33,True
2016,72,False
2016,11,False
2016,744,True
2016,5,False
2016,28,False
2016,2,False
2016,56,True
2016,137,False
2016,4,False
2016,24,False
2016,18,False
2016,6,False
2016,302,False
2016,34,False
2016,156,True
2016,38,False
2016,21,False
2016,118,False
2016,49,False
2016,35,False
2016,9,False
2016,41,False
2016,21,False
2016,3,False
2016,37,False
2016,50,False
2016,3,True
2016,194,False
2016,571,False
2016,95,False
2016,933,True
2016,48,True
2016,23,False
2016,26,True
2016,87,False
2016,273,True
2016,10,False
2016,7,False
2016,4,False
2016,10,False
2016,18,True
2016,224,False
2016,36,False
2016,5,False
2016,862,True
2016,696,True
2016,55,False
2016,71,False
2016,100,False
2016,743,True
2016,38,False
2016,59,False
2016,10,False
2016,5,False
2016,19,False
2016,76,False
2016,29,False
2016,16,False
2016,1,False
2016,190,True
2016,11,False
2016,586,True
2016,130,False
2016,40,True
2016,25,False
2016,39,False
2016,32,False
2016,1601,True
2016,28,False
2016,39,False
2016,30,False
2016,20,False
2016,35,False
2016,26,False
2016,19,False
2016,1334,True
2016,19,False
2016,197,False
2016,954,True
2016,17,False
2016,23,False
2016,1,False
2016,35,False
2016,38,False
2016,24,False
2016,18,False
2016,49,True
2016,210,True
2016,22,False
2016,11,False
2016,59,False
2016,255,False
2016,23,True
2016,57,False
2016,24,False
2016,98,True
2016,1255,True
2016,48,False
2016,12,False
2016,54,False
2016,125,False
2016,394,True
2016,209,True
2016,44,False
2016,14,False
2016,157,False
2016,47,False
2016,2,False
2016,17,False
2016,41,True
2016,138,False
2016,24,False
2016,692,True
2016,84,False
2016,450,False
2016,3971,True
2016,4,False
2016,72,True
2016,51,False
2016,5,False
2016,30,False
2016,6,False
2016,43,False
2016,651,True
2016,36,False
2016,311,True
2016,0,False
2016,24,False
2016,519,True
2016,62,False
2016,95,True
2016,3,False
2016,133,False
2016,1,False
2016,12,False
2016,22,False
2016,152,False
2016,23,False
2016,77,False
2016,92,True
2016,11,False
2016,462,True
2016,31,False
2016,53,False
2016,20,False
2016,32,False
2016,139,True
2016,10,False
2016,13,False
2016,181,True
2016,610,True
2016,1074,True
2016,23,False
2016,5,False
2016,33,False
2016,53,False
2016,133,False
2016,321,False
2016,22,False
2016,16,False
2016,22,False
2016,61,False
2016,43,True
2016,53,False
2016,182,False
2016,86,False
2016,28,False
2016,27,False
2016,32,False
2016,62,False
2016,119,True
2016,195,True
2016,24,False
2016,3,False
2016,94,False
2016,25,True
2016,84,False
2016,71,False
2016,20,False
2016,11,False
2016,58,True
2016,32,True
2016,20,False
2016,34,False
2016,49,False
2016,3138,True
2016,16,False
2016,297,False
2016,399,True
2016,735,True
2016,8,False
2016,67,False
2016,30,False
2016,18,False
2016,39,True
2016,15,False
2016,511,False
2016,23,False
2016,23,False
2016,9,False
2016,18,False
2016,104,False
2016,33,False
2016,3,True
2016,38,False
2016,85,False
2016,47,False
2016,21,False
2016,41,False
2016,192,False
2016,35,False
2016,350,False
2016,114,False
2016,199,False
2016,118,False
2016,32,False
2016,244,False
2016,235,True
2016,20,False
2016,133,False
2016,83,False
2016,20,False
2016,10,False
2016,10,False
2016,53,False
2016,17,False
2016,5665,True
2016,35,False
2016,9,False
2016,9,False
2016,671,True
2016,6,False
2016,48,False
2016,27,True
2016,4,False
2016,18,False
2016,845,True
2016,5,False
2016,37,False
2016,73,False
2016,1,False
2016,3889,True
2016,21,False
2016,97,False
2016,23,False
2016,8,False
2016,71,False
2016,45,False
2016,31,False
2016,9,False
2016,8,False
2016,8,False
2016,310,True
2016,15,False
2016,48,True
2016,156,False
2016,13,False
2016,213,True
2016,48,False
2016,95,False
2016,120,True
2016,227,True
2016,80,False
2016,3,False
2016,64,True
2016,4,False
2016,2280,True
2016,15,False
2016,1140,True
2016,56,True
2016,19,True
2016,166,True
2016,49,False
2016,28,False
2016,23,False
2016,9,False
2016,108,True
2016,7,False
2016,17,False
2016,10,False
2016,172,False
2016,76,True
2016,22,False
2016,3,False
2016,81,True
2016,15,False
2016,1705,True
2016,136,True
2016,15,False
2016,29,False
2016,33,False
2016,4,False
2016,63,False
2016,71,False
2016,456,True
2016,2,False
2016,303,True
2016,24,False
2016,80,False
2016,84,False
2016,10,True
2016,542,True
2016,259,False
2016,991,True
2016,20,False
2016,4,True
2016,27,False
2016,8,False
2016,22,False
2016,923,True
2016,6,True
2016,20,False
2016,3,False
2016,43,False
2016,1638,True
2016,318,False
2016,10,True
2016,14,False
2016,31,False
2016,609,True
2016,77,False
2016,84,True
2016,14,False
2016,277,False
2016,19,False
2016,69,False
2016,224,False
2016,20,False
2016,21,False
2016,213,False
2016,52,False
2016,47,False
2016,42,True
2016,22,False
2016,26,True
2016,39,False
2016,6,False
2016,80,False
2016,30,True
2016,172,False
2016,84,False
2016,18,False
2016,47,False
2016,459,True
2016,495,True
2016,34,False
2016,35,False
2016,381,True
2016,444,True
2016,52,True
2016,33,False
2016,146,False
2016,17,False
2016,122,False
2016,105,False
2016,23,False
2016,52,False
2016,103,False
2016,60,False
2016,90,False
2016,940,True
2016,827,False
2016,130,False
2016,36,False
2016,23,False
2016,5,False
2016,41,False
2016,9,False
2016,1,True
2016,12,False
2016,13,False
2016,27,False
2016,1619,True
2016,55,False
2016,1204,True
2016,19,True
2016,17,False
2016,72,False
2016,7,True
2016,199,True
2016,17,False
2016,13,False
2016,89,False
2016,232,True
2016,35,False
2016,24,True
2016,104,False
2016,37,False
2016,5,False
2016,12,False
2016,22,False
2016,1290,True
2016,49,False
2016,100,False
2016,840,True
2016,208,True
2016,39,False
2016,28,False
2016,74,False
2016,32,False
2016,153,True
2016,24,False
2016,0,False
2016,5,False
2016,1,False
2016,36,False
2016,1258,True
2016,12,False
2016,13,False
2016,25,False
2016,35,False
2016,32,False
2016,10,False
2016,15,False
2016,14,True
2016,36,False
2016,4,False
2016,26,False
2016,97,True
2016,8,False
2016,75,False
2016,30,False
2016,494,True
2016,25,False
2016,6,False
2016,26,False
2016,7,True
2016,107,True
2016,339,False
2016,488,False
2016,1322,True
2016,4,False
2016,423,False
2016,56,False
2016,20,False
2016,65,False
2016,40,True
2016,8,False
2016,100,True
2016,168,True
2016,8,False
2016,21,False
2016,23,False
2016,749,True
2016,80,False
2016,11,True
2016,78,False
2016,20,False
2016,96,False
2016,41,True
2016,795,True
2016,18,False
2016,14,True
2016,80,False
2016,28,True
2016,133,True
2016,141,True
2016,17,False
2016,17,False
2016,49,True
2016,1356,True
2016,13,False
2016,48,True
2016,38,False
2016,31,False
2016,105,False
2016,23,False
2016,69,False
2016,29,False
2016,53,True
2016,8,False
2016,80,False
2016,43,True
2016,6,True
2017,362,True
2017,245,True
2017,54,False
2017,47,False
2017,12,False
2017,23,True
2017,12,False
2017,5,False
2017,178,False
2017,7,False
2017,21,False
2017,1,False
2017,27,True
2017,45,True
2017,170,False
2017,33,False
2017,5,False
2017,155,False
2017,67,True
2017,129,True
2017,25,False
2017,5,False
2017,23,False
2017,33,True
2017,26,False
2017,159,True
2017,11,False
2017,118,True
2017,17,True
2017,24,True
2017,20,False
2017,9,False
2017,258,True
2017,31,False
2017,364,False
2017,15,False
2017,171,True
2017,27,False
2017,292,True
2017,17,False
2017,41,True
2017,869,True
2017,133,False
2017,76,False
2017,29,False
2017,81,True
2017,792,True
2017,60,False
2017,35,False
2017,45,False
2017,176,True
2017,107,False
2017,18,False
2017,18,False
2017,11,False
2017,5,False
2017,326,False
2017,29,False
2017,12,True
2017,68,False
2017,28,False
2017,74,False
2017,14,False
2017,195,True
2017,146,False
2017,3,False
2017,27,False
2017,29,False
2017,96,True
2017,61,True
2017,23,True
2017,9,False
2017,29,False
2017,109,True
2017,149,False
2017,101,True
2017,18,True
2017,18,False
2017,74,True
2017,17,False
2017,11,False
2017,4,False
2017,720,True
2017,118,True
2017,258,False
2017,26,False
2017,10,True
2017,23,False
2017,13,False
2017,6,False
2017,81,True
2017,33,True
2017,87,False
2017,46,False
2017,361,False
2017,69,True
2017,22,False
2017,2370,True
2017,4,False
2017,65,True
2017,9,True
2017,78,False
2017,44,False
2017,57,False
2017,136,False
2017,6,False
2017,117,True
2017,48,True
2017,6,False
2017,49,True
2017,9,False
2017,58,False
2017,2836,True
2017,257,True
2017,74,True
2017,571,True
2017,449,True
2017,21,False
